iter	Passed	Remaining
0	0	88
1	1	79
2	2	77
3	2	71
4	3	68
5	4	66
6	4	65
7	5	63
8	6	62
9	6	60
10	7	59
11	7	58
12	8	57
13	9	56
14	9	56
15	10	55
16	11	55
17	12	54
18	12	53
19	13	52
20	13	51
21	14	51
22	15	50
23	15	49
24	16	48
25	16	47
26	17	47
27	17	46
28	18	45
29	19	44
30	19	44
31	20	43
32	21	42
33	21	41
34	22	41
35	22	40
36	23	39
37	24	39
38	24	38
39	25	37
40	25	37
41	26	36
42	26	35
43	27	34
44	27	34
45	28	33
46	29	32
47	29	32
48	30	31
49	30	30
50	31	30
51	31	29
52	32	28
53	33	28
54	33	27
55	34	26
56	34	26
57	35	25
58	35	24
59	36	24
60	37	23
61	37	23
62	38	22
63	38	21
64	39	21
65	40	20
66	41	20
67	41	19
68	42	18
69	42	18
70	43	17
71	44	17
72	44	16
73	45	15
74	45	15
75	46	14
76	47	14
77	47	13
78	48	12
79	48	12
80	49	11
81	49	10
82	50	10
83	51	9
84	51	9
85	52	8
86	52	7
87	53	7
88	54	6
89	54	6
90	55	5
91	55	4
92	56	4
93	57	3
94	57	3
95	58	2
96	58	1
97	59	1
98	59	0
99	60	0
