iter	Passed	Remaining
0	0	847
1	1	812
2	2	776
3	3	767
4	3	761
5	4	760
6	5	752
7	6	746
8	6	753
9	7	763
10	8	763
11	9	775
12	10	773
13	10	767
14	11	762
15	12	755
16	12	751
17	13	747
18	14	745
19	15	746
20	15	744
21	16	745
22	17	742
23	18	742
24	19	750
25	20	752
26	20	749
27	21	748
28	22	753
29	23	757
30	24	757
31	24	755
32	25	755
33	26	754
34	27	752
35	28	751
36	28	749
37	29	748
38	30	746
39	31	745
40	31	745
41	32	743
42	33	742
43	34	740
44	34	739
45	35	738
46	36	735
47	37	735
48	37	737
49	38	735
50	39	733
51	40	731
52	40	730
53	41	729
54	42	728
55	43	729
56	43	727
57	44	726
58	45	726
59	46	725
60	47	724
61	47	722
62	48	721
63	49	720
64	49	718
65	50	717
66	51	716
67	52	715
68	52	714
69	53	714
70	54	714
71	55	714
72	56	713
73	56	712
74	57	710
75	58	710
76	59	708
77	59	707
78	60	706
79	61	705
80	62	705
81	62	703
82	63	698
83	64	698
84	64	697
85	65	696
86	66	695
87	66	694
88	67	693
89	68	691
90	69	690
91	69	689
92	70	687
93	71	685
94	71	683
95	72	681
96	73	680
97	73	678
98	74	677
99	75	676
100	75	675
101	76	674
102	77	673
103	78	672
104	78	672
105	79	671
106	80	670
107	81	669
108	81	668
109	82	667
110	83	665
111	83	664
112	84	663
113	85	661
114	85	660
115	86	661
116	87	659
117	88	658
118	88	656
119	89	655
120	90	654
121	90	652
122	91	651
123	92	650
124	92	649
125	93	648
126	94	646
127	94	645
128	95	645
129	96	645
130	97	644
131	97	644
132	98	643
133	99	642
134	100	642
135	101	642
136	101	641
137	102	641
138	103	640
139	104	640
140	105	639
141	105	637
142	106	636
143	106	635
144	107	634
145	108	633
146	108	632
147	109	631
148	110	630
149	111	629
150	111	629
151	112	628
152	113	627
153	113	626
154	114	624
155	115	624
156	115	622
157	116	621
158	117	620
159	117	619
160	118	616
161	118	615
162	119	614
163	120	612
164	120	611
165	121	610
166	122	609
167	122	608
168	123	606
169	124	606
170	124	604
171	125	604
172	126	603
173	126	602
174	127	601
175	128	600
176	128	599
177	129	598
178	130	598
179	131	596
180	131	595
181	132	594
182	133	594
183	133	592
184	134	591
185	134	590
186	135	589
187	136	588
188	136	587
189	137	586
190	138	585
191	138	584
192	139	583
193	140	582
194	140	581
195	141	580
196	142	579
197	143	579
198	143	578
199	144	577
200	145	576
201	145	575
202	146	574
203	147	573
204	147	572
205	148	571
206	148	570
207	149	569
208	150	568
209	150	567
210	151	566
211	152	565
212	152	564
213	153	563
214	154	562
215	154	562
216	155	562
217	156	561
218	157	560
219	157	559
220	158	558
221	159	557
222	159	556
223	160	555
224	160	554
225	161	553
226	162	552
227	163	551
228	163	550
229	164	550
230	164	549
231	165	548
232	166	547
233	166	546
234	167	545
235	168	544
236	168	543
237	169	542
238	170	542
239	170	541
240	171	540
241	172	539
242	172	538
243	173	537
244	174	537
245	174	536
246	175	535
247	176	534
248	176	533
249	177	532
250	178	531
251	178	530
252	179	529
253	179	528
254	180	527
255	181	526
256	181	525
257	182	524
258	183	524
259	183	523
260	184	522
261	185	522
262	186	521
263	186	520
264	187	520
265	188	519
266	188	518
267	189	517
268	190	517
269	190	516
270	191	515
271	192	514
272	192	513
273	193	512
274	194	512
275	194	511
276	195	510
277	196	509
278	196	508
279	197	507
280	198	507
281	198	506
282	199	505
283	200	504
284	200	503
285	201	503
286	202	502
287	202	501
288	203	500
289	204	500
290	204	499
291	205	498
292	206	497
293	206	496
294	207	496
295	208	495
296	208	494
297	209	493
298	210	492
299	210	492
300	211	491
301	212	490
302	212	489
303	213	488
304	214	488
305	215	487
306	215	486
307	216	486
308	217	485
